
 iteration number 3 ; error 1.3412493378559724 ; parameters [0.97678618 0.49999291 0.63148499 1.         0.96716413] 

 iteration number 1 ; error 12.658817772432476 ; parameters [0.84340495 0.1690427  0.22148913 0.5563871  0.30013989] 

 iteration number 2 ; error 11.768884196494792 ; parameters [0.83344305 0.19110903 0.24355547 0.57845344 0.29017799] 

 iteration number 3 ; error 9.425379194847316 ; parameters [0.89391564 0.25158162 0.1464016  0.63892603 0.19302411] 

 iteration number 4 ; error 8.130763256702338 ; parameters [0.92791736 0.28558335 0.18040332 0.67292775 0.82863568] 

 iteration number 5 ; error 1.340833633274114 ; parameters [0.97617932 0.49999322 0.18040332 1.         0.82863568] 

